dup_id,source,connector_code,station_id,station_ref,station_name,timeseries_id,timeseries_ref,timeseries_label,pollutant,last_value,last_value_at,distance_m,lat_lon,aurn_uk_air_id,aurn_networks
DUP000001,aurn,aurn_register,,UKA00212,Belfast Centre,,,,co,,,0,54.599650 -5.928833,UKA00212,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; Non-Automatic Hydrocarbon Network; UKEAP: National Ammonia Monitoring Network
DUP000001,json,openaq,16503,2527,EEA Belfast Centre - UKA00212,1826,11438892,2527 CO mass,co,209.556,2026-02-19 08:00:00+00,0.000,54.599650 -5.928833,,
DUP000001,json,sos,272,760,Belfast Centre,,,Belfast Centre-Carbon monoxide (air),co,,,0.000,54.599650 -5.928833,,
DUP000002,aurn,aurn_register,,UKA00217,Cardiff Centre,,,,co,,,0,51.481780 -3.176250,UKA00217,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000002,json,openaq,16486,2485,DEFRA Cardiff Centre,1756,11438890,2485 CO mass,co,186.272,2026-02-19 15:00:00+00,0.000,51.481780 -3.176250,,
DUP000002,json,sos,494,815,Cardiff Centre,,,Cardiff Centre-Carbon monoxide (air),co,,,0.000,51.481780 -3.176250,,
DUP000003,aurn,aurn_register,,UKA00222,Leeds Centre,,,,co,,,0,53.803780 -1.546472,UKA00222,Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network
DUP000003,json,openaq,16501,2523,DEFRA Leeds Centre,1816,11438891,2523 CO mass,co,116.42,2026-02-19 15:00:00+00,0.000,53.803780 -1.546472,,
DUP000003,json,sos,1268,980,Leeds Centre,,,Leeds Centre-Carbon monoxide (air),co,,,0.000,53.803780 -1.546472,,
DUP000004,aurn,aurn_register,,UKA00253,London N. Kensington,,,,co,,,0,51.521050 -0.213419,UKA00253,Automatic Urban and Rural Monitoring Network (AURN); Black Carbon
DUP000004,json,openaq,16383,155,DEFRA London N. Kensington,1453,1304615,155 CO mass,co,139.704,2026-02-19 15:00:00+00,5.051,51.521050 -0.213492,,
DUP000004,json,sos,1567,958,London N. Kensington,,,London N. Kensington-Carbon monoxide (air),co,,,0.000,51.521050 -0.213419,,
DUP000005,aurn,aurn_register,,UKA00315,London Marylebone Road,,,,co,,,0,51.522530 -0.154611,UKA00315,Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; UK Urban NO2 Network
DUP000005,json,breathelondon,7739,CLDP0015,Marylebone Road - Mains (reference co-location),,,Marylebone Road - Mains (reference co-location),co,,,1.899,51.522541 -0.154590,,
DUP000005,json,breathelondon,7740,CLDP0016,Marylebone Road - Solar (reference co-location),,,Marylebone Road - Solar (reference co-location),co,,,1.899,51.522541 -0.154590,,
DUP000005,json,openaq,16382,154,DEFRA London Marylebone Road,1447,1304850,154 CO mass,co,372.544,2026-02-19 15:00:00+00,0.000,51.522530 -0.154611,,
DUP000005,json,sos,1519,1030,London Marylebone Road,,,London Marylebone Road-Carbon monoxide (air),co,,,0.000,51.522530 -0.154611,,
DUP000006,aurn,aurn_register,,UKA00454,Edinburgh St Leonards,,,,co,,,0,55.945589 -3.182186,UKA00454,Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase)
DUP000006,json,openaq,16409,955,DEFRA Edinburgh St Leonards,1549,11438889,955 CO mass,co,151.346,2026-02-19 13:00:00+00,0.000,55.945589 -3.182186,,
DUP000006,json,sos,800,879,Edinburgh St Leonards,,,Edinburgh St Leonards-Carbon monoxide (air),co,,,0.000,55.945589 -3.182186,,
